Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,"Both players must be the same discord rank at the time of the roll request If for whatever reason they are the only person in that rank, they can request to pair up with someone in a lower or higher rank People on SS rank or higher can roll between themselves ignoring rank limitations. Player A must complete a randomly rolled game that player B has completed all primary objectives in, and vice versa Player A cannot have any points earned in the game rolled from player B's completed games, and vice versa A game will not be rolled for either player if it does not fit the criteria of a ""rollable"" game, those aspects being price, exploitability, availability, etc",Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,"A game will not be rolled for either player if it does not fit the criteria of a ""rollable"" game, those aspects being price, exploitability, availability, etc A game will not be rolled if either player has any points in that game (except T5+ where a game may be rolled as long as neither player has finished it) Both players must complete all primary objectives in that game within the time limit Picking T5 will exclude games worth 400 or more, but both players may request that T6 games be added to the pool The time limit for each tier and cooldown is as follows: Tier",Time Limit,Cooldown,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,"A game will not be rolled for either player if it does not fit the criteria of a ""rollable"" game, those aspects being price, exploitability, availability, etc A game will not be rolled if either player has any points in that game. Player A may complete all 4 games by themselves Player A and player B cannot split the objectives in a game to have it collectively completed. All primary objectives must be completed by a single person ",Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,DEPRECATED ,"YOU ALSO ARE ABLE TO CHOOSE A CATEGORY A game will not be rolled for either player if it does not fit the criteria of a ""rollable"" game, those aspects being price, exploitability, availability, etc A game will not be rolled if either player has any points in that game. The winner will be determined by discord time stamps, you must post your completion in Casino *PvP achievements CANNOT be rolled if your CS is below 0  ",Unnamed: 43,(choose tier and category) ,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,"A game will not be rolled for either player if it does not fit the criteria of a ""rollable"" game, those aspects being price, exploitability, availability, etc A game will not be rolled if either player has any points in that game. Player A will DM to Folkius the category they want a random T1 to be rolled for player B to complete all objectives in, and vice versa The winner will be determined by discord time stamps, you must post your completion in Casino You are free to discuss with your opponent which category you plan on giving them, and you are not obligated to be honest *PvP achievements CANNOT be rolled if your CS is below 0 ",Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,T1**** ,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63
,,,,There is no time limit on completing the games,,,,,,,,,,,1,48 hours,10 weeks ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,If neither player want to finish their game they can agree to a draw.,,,,,,,,,,
,,,,You can only have 5 different runs of this roll running at once | finish or cancel|reroll if you hit the cap.,,,,,,,,,,,2,10 days ,8 weeks ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strategy can't be chosen for this roll at the moment.,,,,,,,,,,
,,,,,,,,,,,,,,,3,1 month,6 weeks ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4,2 months,4 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5,Forever,2 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"You can only have one roll going on with the same player, and 5 in total. Attempting to change tier with the same player counts as a reroll.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Player A,Player B,,Game 1,,Game 2,,,Can Re-roll on ,,,,,,,,,,,,,,Player A,Player B,,Game 1,,Game 2,,Game 3,,Game 4,,,,Can Re-roll on,,,Player A,Player B,,Game,,,,Winner,Loser,,,Player A,Category,Game,Player B,Category,Game,,Winner,Loser,Loser/draw Reroll,
,,,,Joker,Newfi,,Going Under,,Void Prison,,04/03,Now,,,,,,,,,,,,,,Loyal,Eg,vs,RIVE,,Hellsinker,,All Day Dying,,Super Lumi Live,,04/04,05/02,Now,,,Breed,Shiny,,Pain Party,,04/08,,,,,,Crappy,Platformer,Bouncing Hero,Rainbow,FPS,All Day Dying,07/14,,,,
,,,,Koolboom,ZALOLO,,Noita,,Geometry Dash,,04/03,Now,,,,,,,,,,,,,,Shiba,Common,vs,Q,,Jotun,,Eryi's Action,,Eggcelerate,,04/05,05/03,Now,,,Shiba,Common,,Duck Game,,04/09,,,,,,Juice,Arcade,Starstruct: Prologue,Dabba,Action,Fury Unleashed,09/26,,,,
,,,,Blizzy,Gaphodil,,Steredenn,,Super Hexagon,,04/03,Now,,,,,,,,,,,,,,Breed,Shiny,vs,Buck Up and Drive,,Lenna's Inception,,Touhou Kikamu,,Pizza Tower,,04/08,05/06,Now,,,Gloom,Electrolyte99,,Radial Flow,,10/04,,,,,,,,,,,,,,,,
,,,,KingConn,SomeMugger,,Dicey Dungeons,,Shu,,04/03,Now,,,Player A,Player B,,Game,,,,Complete By,Can Re-roll on,,,Newfi Cheese,Emma,vs,Hyperun,,Leo's Fortune,,Aim Climb,,DANMAKAI,,04/17,05/15,Now,,,Dabba,Natalie,,Tetris® Effect: Connected,,10/05,,,,,,,,,,,,,,,,
,,,,Tater,Flop,,Open Hexagon,,Neon White,,04/03,Now,,,Dabba,Newfi,vs,Dustforce DX,,,04/03,Heat Death,Now,,,Koolboom,Newfi Cheese ,vs,Umihara Kawase Shun,,LOST EGG 2,,Jumping Knight,,Paperball,,08/28,09/25,Now,,,Nuepiyoo,Kiehi,,Lifeslide,,07/05,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Koolboom,Natalie,vs,The End is Nigh,,5.0,04/03,Heat Death,Now,,,Koolboom,SakumaDrops,vs,LOST EGG 2: Be together,,Overture,,Zuma's Revenge!,,Eggcelerate!,,11/20,12/18,Now,,,Natalie,Calypso,,Mute Crimson+,,07/13,,,,,,History,,,,,,,,,,
,,,,Sartoonel,Apollo,,Action Henk,,High Hell,,04/15,Now,,,Tettrum,Sartoonel,vs,SteamWorld Heist,,3.0,05/17,06/14,Now,,,NEX,Aergis,vs,LOST LIGHT: Bright mates,,PAWARUMI,,Eggcelerate! to the Tropics,,Yumori Forest,,11/03,12/01,01/26,,,,,,,,,,,,,,Player A,Category,Game,Player B,Category,Game,,Winner,Loser,Loser/draw Reroll,
,,,,Nuepiyoo,kiehi,,Soundodger+,,Pureya,,04/15,Now,,,andy,apollo,vs,Hextech Mayhem,,3.0,04/10,05/08,Now,,,Kiehi,Ramia,vs,Going Under,,Bleed,,Psilosybil,,OkunoKA Madness,,03/14,04/14,07/14,,,,,,,,,,,,,,Natalie,Platformer,A hat in Time,Koolboom,Arcade,Trackmania^2 Valley,09/28,Natalie,Koolboom,08/07,
,,,,Uribo,8Nirp,,Balancelot,,Mixolumia,,05/01,Now,,,shiba,Common,vs,Pivvot,,1.0,04/04,04/06,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Nuepiyoo,ぎょーざ,vs,Petal Crash,,,06/03,Heat Death,Now,,,,,,,,,,,,,,,,,,,History,,,,,,,,,,,,,,,,,,,,,
,,,,Pralkarz,Mini1burger,,Duck Game,,Arcane Golf,,06/01,Now,,,Pralkarz,Kostucha,vs,Rival Megagun,,2.0,07/21,07/31,Now,,,Wantarou,Uribo,vs,Pizza Tower,,Cursed Castilla,,Operation STEEL,,Fury Unleashed,,,,1,,,Koolboom,Natalie,,Angry Video Game Nerd Adventures,,,,Natalie,Koolboom,(p),,,,,,,,,,,,
,,,,Achrotone,Zawy,,Run or Die,,Hades,,07/03,Now,,,Nuepiyoo,ぎょーざ,vs,Trials Fusion,,,07/23,Heat Death,Now,,,Natalie,Calypso,vs,Like Dreamer,,Q,,Wrack,,Steamworld Heist,,,,1,,,Ramia,Owl_female,,Cosmophony,,,,Owl_female,Ramia,,,,,,,,,,,,,
,,,,Eg,Velocity,,World of Goo,,Trackmania^2 Valley,,07/14,Now,,,Uzzbuzz,SUM10,vs,How I Learned to Skate,,,07/27,Heat Death,Now,,,Koolboom,SakumaDrops,vs,Shooting Game KARI,,ALLTYNEX Second,,Colt Canyon,,Super High Ball: Pinball Platformer,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Feuzaed,Zawy,,Risk of Rain 2,,Apple Slash,,07/16,Now,,,Athena,Zelda,vs,Stilt Fella,,5.0,10/02,Heat Death,Now,,,Nuepiyoo,ぎょーざ,vs,Shooting Game KARI,,One Step From Eden,,Yumori Forest,,Miska's Cave,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Razman,Desert Stream,,Super Hexagon,,Peggle Deluxe,,10/08,Now,,,Kiehi,Ramia,vs,Lone Fungus,,2.0,10/08,10/18,Now,,,Legion,Kingcoon,vs,Eggcelerate!,,Umihara Kawase Shun,,Super Lumi Live,,Touhou Nemuri Sekai - Wonderful Waking World,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kiehi,Ramia,,Touhou Shinreibyou - Ten Desires,,OmniBus,,10/06,Now,,,Natalie,Newfi,vs,Stilt Fella,,5.0,06/08,Heat Death,Now,,,,,,,,,,,,,,,,,,,Players,Victories,,Cooldown,,,,,,,,,,,,,,,,,,
,,,,Desticler,River2763,,Getting over It,,Rabi-Ribi,,11/09,Now,,,Natalie,Oatmeal,vs,Dino Run DX,,1.0,07/26,07/28,Now,,,,,,,,,,,,,,,,,,,Natalie,1,0.0,Now,,,,,,,,,,,,,,,,,,
,,,,Zelda,Kostucha,,FTL: Faster Than Light,,Speed Limit,,11/11,Now,,,Desert,Fireball,vs,Open Hexagon,,5.0,09/29,Heat Death,Now,,,,,,,,,,,,,,,,,,,Koolbom,0,1.0,Now,,,,,,,,,,,,,,,,,,
,,,,AkaraWa,Plant,,The Messenger,,,,,Now,,,Yesnt,ssqwpola,vs,Shadow Corridor 2,,,10/19,Heat Death,Now,,,,,,,,,,,,,,,,,,,Owl_female,1,0.0,Now,,,,,,,,,,,,,,,,,,
,,,,Jonus,Trusty Patches,,OTXO,,Rogue Legacy,,3/6,Now,,,Natalie,Dabba,vs,PogoChamp,,5.0,11/05,Heat Death,Now,,,,,,,,,,,,,,,,,,,Ramia,0,1.0,09/15,,,,,,,,,,,,,,,,,,
,,,,Kanra,Haohmaru,,Axiom Verge,,Little Nightmares,,3/6,Now,,,Electrolyte99,Gloom,vs,Bhop Craze,,5.0,11/05,Heat Death,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Schmole,Kostucha,,Kero Blaster,,Dark Old Sun,,3/7,Now,,,Razman,Desticler,vs,Trials Evolution: Gold Edition,,5.0,11/05,Heat Death,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Natalie,Newfi,,The Textorcist,,Reverse x Reverse,,04/28,Now,,,Natalie,Zelda,vs,MineRalph,,5.0,11/05,Heat Death,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sartoonel,Nimportnawak,,Ninjin: Clash of Carrots,,Geometry Dash,,06/06,Now,,,Fireball,Razman,vs,Jump King,,5.0,11/05,Heat Death,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tettrum,Joker,,RITE,,Micro Platformer,,06/07,Now,,,Zelda,Razman,vs,Spelunky 2,,5.0,11/05,Heat Death,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
